FractureHeight[m],Time[s],Velocity[m/s]
1.29E+01,8.63E+00,5.55E-01
1.44E+01,9.33E+00,3.25E-01
1.44E+01,1.01E+01,3.63E-01
1.44E+01,1.09E+01,3.32E-01
1.44E+01,1.18E+01,3.30E-01
1.44E+01,1.27E+01,3.14E-01
1.58E+01,1.37E+01,3.10E-01
1.72E+01,1.48E+01,2.67E-01
1.72E+01,1.60E+01,2.71E-01
1.72E+01,1.73E+01,2.82E-01
1.72E+01,1.87E+01,2.68E-01
1.87E+01,2.02E+01,2.08E-01
2.01E+01,2.18E+01,2.23E-01
2.01E+01,2.35E+01,2.37E-01
2.01E+01,2.54E+01,2.27E-01
2.16E+01,2.75E+01,2.20E-01
2.30E+01,2.97E+01,2.06E-01
2.30E+01,3.20E+01,1.83E-01
2.44E+01,3.46E+01,1.82E-01
2.44E+01,3.74E+01,1.73E-01
2.59E+01,4.04E+01,1.67E-01
2.73E+01,4.36E+01,1.57E-01
2.73E+01,4.71E+01,1.55E-01
2.87E+01,5.08E+01,1.51E-01
3.02E+01,5.49E+01,1.44E-01
3.02E+01,5.93E+01,1.40E-01
3.30E+01,6.41E+01,1.30E-01
3.30E+01,6.92E+01,1.28E-01
3.30E+01,7.47E+01,1.22E-01
3.59E+01,8.07E+01,1.17E-01
3.59E+01,8.72E+01,1.13E-01
3.74E+01,9.41E+01,1.08E-01
3.88E+01,1.02E+02,1.07E-01
4.02E+01,1.10E+02,1.04E-01
4.17E+01,1.19E+02,1.00E-01
4.31E+01,1.28E+02,9.86E-02
4.31E+01,1.30E+02,9.95E-02
4.45E+01,1.34E+02,9.77E-02
4.45E+01,1.42E+02,8.58E-02
4.74E+01,1.55E+02,6.70E-02
4.74E+01,1.72E+02,5.34E-02
4.89E+01,1.93E+02,4.33E-02
5.03E+01,2.20E+02,3.61E-02
5.03E+01,2.51E+02,3.01E-02
5.17E+01,2.89E+02,2.47E-02
5.17E+01,3.32E+02,2.13E-02
5.32E+01,3.82E+02,1.80E-02
5.46E+01,4.40E+02,1.63E-02
5.46E+01,5.06E+02,1.47E-02
5.60E+01,5.81E+02,1.27E-02
5.75E+01,6.69E+02,1.17E-02
5.75E+01,7.56E+02,1.10E-02
5.89E+01,8.60E+02,9.67E-03
6.03E+01,9.78E+02,9.13E-03
6.18E+01,1.10E+03,8.77E-03
6.18E+01,1.23E+03,8.04E-03
6.32E+01,1.38E+03,7.50E-03
6.47E+01,1.53E+03,7.23E-03
6.61E+01,1.69E+03,6.96E-03
6.61E+01,1.85E+03,6.29E-03
6.75E+01,2.03E+03,6.10E-03
6.90E+01,2.22E+03,6.05E-03
7.04E+01,2.41E+03,5.84E-03
7.04E+01,2.60E+03,5.15E-03
7.18E+01,2.83E+03,5.13E-03
7.33E+01,3.05E+03,5.16E-03
7.47E+01,3.27E+03,5.01E-03
7.47E+01,3.50E+03,4.44E-03
7.61E+01,3.76E+03,4.47E-03
7.76E+01,4.01E+03,4.56E-03
7.90E+01,4.26E+03,4.46E-03
7.90E+01,4.52E+03,3.93E-03
8.05E+01,4.81E+03,3.92E-03
8.19E+01,5.10E+03,4.08E-03
8.33E+01,5.38E+03,4.08E-03
8.33E+01,5.66E+03,3.81E-03
8.48E+01,5.96E+03,3.66E-03
8.62E+01,6.27E+03,3.67E-03
8.76E+01,6.58E+03,3.72E-03
8.76E+01,6.89E+03,3.48E-03
8.91E+01,7.22E+03,3.35E-03
9.05E+01,7.56E+03,3.41E-03
9.20E+01,7.90E+03,3.47E-03
9.20E+01,8.23E+03,3.24E-03
9.34E+01,8.58E+03,3.16E-03
9.48E+01,8.94E+03,3.22E-03
9.63E+01,9.30E+03,3.31E-03
9.77E+01,9.64E+03,3.36E-03
9.77E+01,9.98E+03,3.15E-03
9.91E+01,1.03E+04,2.99E-03
1.01E+02,1.07E+04,3.08E-03
1.02E+02,1.11E+04,3.17E-03
1.02E+02,1.15E+04,2.98E-03
1.03E+02,1.18E+04,2.89E-03
1.05E+02,1.22E+04,2.93E-03
1.06E+02,1.26E+04,3.01E-03
1.06E+02,1.30E+04,2.82E-03
1.08E+02,1.34E+04,2.72E-03
1.09E+02,1.38E+04,2.75E-03
1.11E+02,1.42E+04,2.88E-03
1.12E+02,1.46E+04,2.95E-03
1.12E+02,1.50E+04,2.82E-03
1.14E+02,1.54E+04,2.68E-03
1.15E+02,1.59E+04,2.74E-03
1.16E+02,1.63E+04,2.87E-03
1.16E+02,1.67E+04,2.70E-03
1.18E+02,1.71E+04,2.60E-03
1.19E+02,1.75E+04,2.65E-03
1.21E+02,1.80E+04,2.74E-03
1.22E+02,1.84E+04,2.75E-03
1.22E+02,1.88E+04,2.51E-03
1.24E+02,1.93E+04,2.48E-03
1.25E+02,1.97E+04,2.62E-03
1.26E+02,2.02E+04,2.68E-03
1.26E+02,2.06E+04,2.50E-03
1.28E+02,2.10E+04,2.33E-03
1.29E+02,2.15E+04,2.41E-03
1.31E+02,2.20E+04,2.52E-03
1.32E+02,2.25E+04,2.47E-03
1.32E+02,2.29E+04,2.32E-03
1.34E+02,2.34E+04,2.33E-03
1.35E+02,2.39E+04,2.39E-03
1.36E+02,2.44E+04,2.44E-03
1.36E+02,2.49E+04,2.33E-03
1.38E+02,2.53E+04,2.20E-03
1.39E+02,2.59E+04,2.29E-03
1.41E+02,2.64E+04,2.40E-03
1.42E+02,2.68E+04,2.27E-03
1.42E+02,2.73E+04,2.19E-03
1.44E+02,2.79E+04,2.22E-03
1.45E+02,2.84E+04,2.30E-03
1.47E+02,2.89E+04,2.31E-03
1.47E+02,2.94E+04,2.24E-03
1.48E+02,2.99E+04,2.09E-03
1.49E+02,3.04E+04,2.18E-03
1.51E+02,3.10E+04,2.25E-03
1.51E+02,3.15E+04,2.08E-03
1.52E+02,3.20E+04,1.97E-03
1.54E+02,3.26E+04,2.01E-03
1.55E+02,3.32E+04,2.14E-03
1.57E+02,3.37E+04,2.15E-03
1.57E+02,3.42E+04,2.07E-03
1.58E+02,3.48E+04,1.96E-03
1.59E+02,3.54E+04,1.99E-03
1.61E+02,3.59E+04,2.09E-03
1.61E+02,3.65E+04,1.95E-03
1.62E+02,3.71E+04,1.83E-03
1.64E+02,3.77E+04,1.91E-03
1.65E+02,3.83E+04,1.98E-03
1.67E+02,3.89E+04,1.91E-03
1.67E+02,3.95E+04,1.81E-03
1.68E+02,4.01E+04,1.82E-03
1.70E+02,4.07E+04,1.86E-03
1.71E+02,4.13E+04,1.91E-03
1.71E+02,4.19E+04,1.83E-03
1.72E+02,4.26E+04,1.70E-03
1.74E+02,4.32E+04,1.74E-03
1.75E+02,4.39E+04,1.84E-03
1.77E+02,4.45E+04,1.79E-03
1.77E+02,4.51E+04,1.63E-03
1.78E+02,4.58E+04,1.67E-03
1.80E+02,4.65E+04,1.72E-03
1.81E+02,4.72E+04,1.76E-03
1.81E+02,4.78E+04,1.68E-03
1.82E+02,4.85E+04,1.58E-03
1.84E+02,4.93E+04,1.65E-03
1.85E+02,4.99E+04,1.74E-03
1.87E+02,5.06E+04,1.64E-03
1.87E+02,5.13E+04,1.54E-03
1.88E+02,5.20E+04,1.56E-03
1.90E+02,5.28E+04,1.63E-03
1.91E+02,5.35E+04,1.65E-03
1.91E+02,5.42E+04,1.62E-03
1.93E+02,5.49E+04,1.54E-03
1.94E+02,5.56E+04,1.53E-03
1.95E+02,5.64E+04,1.67E-03
1.97E+02,5.70E+04,1.61E-03
1.97E+02,5.78E+04,1.48E-03
1.98E+02,5.85E+04,1.51E-03
2.00E+02,5.93E+04,1.57E-03
2.01E+02,6.00E+04,1.60E-03
2.01E+02,6.07E+04,1.55E-03
2.03E+02,6.15E+04,1.45E-03
2.04E+02,6.22E+04,1.45E-03
2.05E+02,6.30E+04,1.59E-03
2.07E+02,6.38E+04,1.49E-03
2.07E+02,6.45E+04,1.38E-03
2.08E+02,6.54E+04,1.38E-03
2.10E+02,6.62E+04,1.46E-03
2.11E+02,6.70E+04,1.49E-03
2.11E+02,6.77E+04,1.45E-03
2.13E+02,6.85E+04,1.35E-03
2.14E+02,6.94E+04,1.36E-03
2.16E+02,7.02E+04,1.42E-03
2.16E+02,7.09E+04,1.39E-03
2.17E+02,7.18E+04,1.30E-03
2.18E+02,7.26E+04,1.35E-03
2.20E+02,7.35E+04,1.41E-03
2.21E+02,7.43E+04,1.32E-03
2.21E+02,7.51E+04,1.24E-03
2.23E+02,7.61E+04,1.24E-03
2.24E+02,7.70E+04,1.30E-03
2.26E+02,7.79E+04,1.26E-03
2.26E+02,7.88E+04,1.16E-03
2.27E+02,7.98E+04,1.16E-03
2.28E+02,8.08E+04,1.21E-03
2.30E+02,8.17E+04,1.26E-03
